Tanggal;Nama Logam;Harga(Rp);
29/12/23;BUYBACK;1028000;
29/12/23;GOLD;1130000;
28/12/23;BUYBACK;1039000;
28/12/23;GOLD;1141000;
27/12/23;BUYBACK;1035000;
27/12/23;GOLD;1137000;
26/12/23;BUYBACK;1029000;
26/12/23;GOLD;1132000;
25/12/23;BUYBACK;1029000;
25/12/23;GOLD;1132000;
24/12/23;BUYBACK;1029000;
24/12/23;GOLD;1132000;
23/12/23;BUYBACK;1029000;
23/12/23;GOLD;1132000;
22/12/23;BUYBACK;1025000;
22/12/23;GOLD;1128000;
21/12/23;BUYBACK;1018000;
21/12/23;GOLD;1121000;
20/12/23;BUYBACK;1021000;
20/12/23;GOLD;1125000;
19/12/23;BUYBACK;1014000;
19/12/23;GOLD;1118000;
18/12/23;BUYBACK;1010000;
18/12/23;GOLD;1114000;
17/12/23;BUYBACK;1010000;
17/12/23;GOLD;1114000;
16/12/23;BUYBACK;1010000;
16/12/23;GOLD;1114000;
15/12/23;BUYBACK;1025000;
15/12/23;GOLD;1126000;
14/12/23;BUYBACK;1024000;
14/12/23;GOLD;1125000;
13/12/23;BUYBACK;999000;
13/12/23;GOLD;1100000;
12/12/23;BUYBACK;992000;
12/12/23;GOLD;1093000;
11/12/23;BUYBACK;1006000;
11/12/23;GOLD;1107000;
10/12/23;BUYBACK;1006000;
10/12/23;GOLD;1107000;
09/12/23;BUYBACK;1006000;
09/12/23;GOLD;1107000;
08/12/23;BUYBACK;1015000;
08/12/23;GOLD;1116000;
07/12/23;BUYBACK;1015000;
07/12/23;GOLD;1116000;
06/12/23;BUYBACK;1008000;
06/12/23;GOLD;1110000;
05/12/23;BUYBACK;1020000;
05/12/23;GOLD;1122000;
04/12/23;BUYBACK;1044000;
04/12/23;GOLD;1145000;
03/12/23;BUYBACK;1029000;
03/12/23;GOLD;1130000;
02/12/23;BUYBACK;1029000;
02/12/23;GOLD;1130000;
01/12/23;BUYBACK;1014000;
01/12/23;GOLD;1115000;
30/11/23;BUYBACK;1019000;
30/11/23;GOLD;1120000;
29/11/23;BUYBACK;1023000;
29/11/23;GOLD;1124000;
28/11/23;BUYBACK;1014000;
28/11/23;GOLD;1115000;
27/11/23;BUYBACK;1009000;
27/11/23;GOLD;1110000;
26/11/23;BUYBACK;1009000;
26/11/23;GOLD;1110000;
25/11/23;BUYBACK;1009000;
25/11/23;GOLD;1110000;
24/11/23;BUYBACK;1004000;
24/11/23;GOLD;1105000;
23/11/23;BUYBACK;994000;
23/11/23;GOLD;1095000;
22/11/23;BUYBACK;995000;
22/11/23;GOLD;1097000;
21/11/23;BUYBACK;993000;
21/11/23;GOLD;1095000;
20/11/23;BUYBACK;994000;
20/11/23;GOLD;1097000;
19/11/23;BUYBACK;997000;
19/11/23;GOLD;1100000;
18/11/23;BUYBACK;997000;
18/11/23;GOLD;1100000;
17/11/23;BUYBACK;992000;
17/11/23;GOLD;1095000;
16/11/23;BUYBACK;993000;
16/11/23;GOLD;1096000;
15/11/23;BUYBACK;994000;
15/11/23;GOLD;1097000;
14/11/23;BUYBACK;986000;
14/11/23;GOLD;1089000;
13/11/23;BUYBACK;980000;
13/11/23;GOLD;1084000;
12/11/23;BUYBACK;980000;
12/11/23;GOLD;1084000;
11/11/23;BUYBACK;980000;
11/11/23;GOLD;1084000;
10/11/23;BUYBACK;987000;
10/11/23;GOLD;1092000;
09/11/23;BUYBACK;981000;
09/11/23;GOLD;1087000;
08/11/23;BUYBACK;987000;
08/11/23;GOLD;1094000;
07/11/23;BUYBACK;1004000;
07/11/23;GOLD;1111000;
06/11/23;BUYBACK;1016000;
06/11/23;GOLD;1123000;
05/11/23;BUYBACK;1017000;
05/11/23;GOLD;1125000;
04/11/23;BUYBACK;1017000;
04/11/23;GOLD;1125000;
03/11/23;BUYBACK;1018000;
03/11/23;GOLD;1126000;
02/11/23;BUYBACK;1015000;
02/11/23;GOLD;1123000;
01/11/23;BUYBACK;1015000;
01/11/23;GOLD;1123000;
31/10/23;BUYBACK;1022000;
31/10/23;GOLD;1131000;
30/10/23;BUYBACK;1026000;
30/10/23;GOLD;1135000;
29/10/23;BUYBACK;1027000;
29/10/23;GOLD;1136000;
28/10/23;BUYBACK;1027000;
28/10/23;GOLD;1136000;
27/10/23;BUYBACK;1014000;
27/10/23;GOLD;1123000;
26/10/23;BUYBACK;1016000;
26/10/23;GOLD;1125000;
25/10/23;BUYBACK;1014000;
25/10/23;GOLD;1123000;
24/10/23;BUYBACK;1008000;
24/10/23;GOLD;1119000;
23/10/23;BUYBACK;1005000;
23/10/23;GOLD;1117000;
22/10/23;BUYBACK;1009000;
22/10/23;GOLD;1121000;
21/10/23;BUYBACK;1009000;
21/10/23;GOLD;1121000;
20/10/23;BUYBACK;1000000;
20/10/23;GOLD;1112000;
19/10/23;BUYBACK;986000;
19/10/23;GOLD;1100000;
18/10/23;BUYBACK;973000;
18/10/23;GOLD;1088000;
17/10/23;BUYBACK;969000;
17/10/23;GOLD;1085000;
16/10/23;BUYBACK;969000;
16/10/23;GOLD;1087000;
15/10/23;BUYBACK;969000;
15/10/23;GOLD;1088000;
14/10/23;BUYBACK;969000;
14/10/23;GOLD;1088000;
13/10/23;BUYBACK;949000;
13/10/23;GOLD;1072000;
12/10/23;BUYBACK;950000;
12/10/23;GOLD;1072000;
11/10/23;BUYBACK;941000;
11/10/23;GOLD;1063000;
10/10/23;BUYBACK;940000;
10/10/23;GOLD;1062000;
09/10/23;BUYBACK;931000;
09/10/23;GOLD;1053000;
08/10/23;BUYBACK;924000;
08/10/23;GOLD;1047000;
07/10/23;BUYBACK;924000;
07/10/23;GOLD;1047000;
06/10/23;BUYBACK;920000;
06/10/23;GOLD;1043000;
05/10/23;BUYBACK;919000;
05/10/23;GOLD;1043000;
04/10/23;BUYBACK;916000;
04/10/23;GOLD;1040000;
03/10/23;BUYBACK;915000;
03/10/23;GOLD;1039000;
02/10/23;BUYBACK;928000;
02/10/23;GOLD;1049000;
01/10/23;BUYBACK;928000;
01/10/23;GOLD;1049000;
30/09/23;BUYBACK;928000;
30/09/23;GOLD;1049000;
29/09/23;BUYBACK;933000;
29/09/23;GOLD;1053000;
28/09/23;BUYBACK;938000;
28/09/23;GOLD;1058000;
27/09/23;BUYBACK;946000;
27/09/23;GOLD;1066000;
26/09/23;BUYBACK;952000;
26/09/23;GOLD;1072000;
25/09/23;BUYBACK;958000;
25/09/23;GOLD;1078000;
24/09/23;BUYBACK;959000;
24/09/23;GOLD;1079000;
23/09/23;BUYBACK;959000;
23/09/23;GOLD;1079000;
22/09/23;BUYBACK;957000;
22/09/23;GOLD;1077000;
21/09/23;BUYBACK;960000;
21/09/23;GOLD;1080000;